,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Subscription to deposit (target)
0,26,blue-collar,married,primary,no,0,yes,no,unknown,21,may,425,1,-1.0,0,unknown,no
1,26,unemployed,single,secondary,no,1064,no,no,unknown,31,may,113,1,-1.0,0,unknown,no
2,26,student,single,secondary,no,2572,yes,no,cellular,5,may,620,1,-1.0,0,unknown,no
3,26,technician,single,tertiary,no,1216,yes,no,cellular,16,apr,472,2,-1.0,0,unknown,no
4,26,technician,married,tertiary,no,3825,yes,no,unknown,13,may,107,1,-1.0,0,unknown,no
5,26,management,single,secondary,no,63,no,no,cellular,28,jul,76,4,-1.0,0,unknown,no
6,26,self-employed,single,tertiary,no,211,no,no,cellular,29,jan,168,3,-1.0,0,unknown,no
7,26,entrepreneur,single,tertiary,no,81,no,no,cellular,21,jul,262,3,-1.0,0,unknown,no
8,26,technician,single,secondary,no,455,no,no,cellular,29,jan,240,1,182.0,8,other,no
9,26,blue-collar,single,secondary,no,-32,yes,yes,cellular,31,jul,14,6,-1.0,0,unknown,no
10,26,management,single,tertiary,no,350,no,no,cellular,8,jul,367,1,-1.0,0,unknown,no
11,26,student,single,secondary,no,279,no,no,cellular,7,may,239,3,-1.0,0,unknown,no
12,26,admin.,single,secondary,no,255,no,no,cellular,30,apr,457,1,80.0,1,success,yes
13,26,unemployed,married,tertiary,no,454,yes,yes,unknown,23,may,28,18,-1.0,0,unknown,no
14,26,services,divorced,secondary,no,74,yes,no,unknown,23,may,106,6,-1.0,0,unknown,no
15,26,services,single,secondary,no,127,yes,yes,cellular,23,jul,85,3,-1.0,0,unknown,no
16,26,management,single,tertiary,no,10000000,no,no,unknown,26,may,111,1,-1.0,0,unknown,no
17,26,blue-collar,no,secondary,no,856,yes,yes,cellular,30,jul,95,5,-1.0,0,unknown,no
18,26,technician,single,secondary,no,2610,yes,yes,unknown,2,jun,626,1,-1.0,0,unknown,no
19,26,admin.,single,secondary,no,443,no,no,cellular,30,jul,84,3,-1.0,0,unknown,no
20,26,blue-collar,married,secondary,no,484,yes,no,unknown,19,may,48,2,-1.0,0,unknown,no
21,26,blue-collar,married,secondary,no,245,yes,no,unknown,26,may,16,11,-1.0,0,unknown,no
22,26,admin.,single,tertiary,no,3672,yes,no,unknown,29,may,360,5,-1.0,0,unknown,no
23,26,blue-collar,single,primary,no,-887,yes,no,cellular,18,may,827,2,-1.0,0,unknown,yes
24,26,blue-collar,married,secondary,no,115,yes,no,unknown,4,jul,46,3,-1.0,0,unknown,no
25,26,management,single,tertiary,no,592,no,no,telephone,29,jan,145,2,164.0,1,other,no
26,26,admin.,married,secondary,no,0,no,no,unknown,27,may,755,1,-1.0,0,unknown,no
27,26,technician,married,secondary,no,18,yes,yes,cellular,5,may,138,1,-1.0,0,unknown,no
28,26,admin.,single,secondary,no,236,yes,yes,cellular,18,may,8,2,-1.0,0,unknown,no
29,26,self-employed,married,tertiary,no,479,yes,no,cellular,9,feb,133,3,-1.0,0,unknown,no
30,26,technician,single,secondary,no,7,yes,no,cellular,22,jul,188,2,-1.0,0,unknown,no
31,26,services,single,secondary,no,512,yes,yes,cellular,30,jan,206,5,239.0,3,failure,no
32,26,services,single,secondary,no,0,no,no,cellular,29,jul,165,23,-1.0,0,unknown,no
33,26,unemployed,single,secondary,no,622,no,no,cellular,28,jan,1451,2,-1.0,0,unknown,yes
34,26,management,single,tertiary,no,122,no,yes,cellular,8,jul,160,1,-1.0,0,unknown,no
35,26,student,single,secondary,no,203,no,no,cellular,16,nov,104,1,196.0,1,failure,no
36,26,blue-collar,single,primary,no,155,yes,no,cellular,29,jan,291,1,244.0,4,failure,no
37,26,self-employed,single,tertiary,no,1153,no,no,cellular,4,may,238,3,-1.0,0,unknown,no
38,26,blue-collar,married,primary,no,5116,yes,no,cellular,22,jul,246,3,-1.0,0,unknown,no
39,26,management,single,tertiary,no,-8,no,no,cellular,13,aug,402,2,-1.0,0,unknown,no
40,26,unemployed,single,secondary,no,461,no,no,cellular,28,jan,214,1,-1.0,0,unknown,no
41,26,admin.,single,secondary,no,96,yes,no,cellular,13,may,612,2,348.0,3,other,no
42,26,services,single,secondary,no,50,yes,no,cellular,12,aug,153,1,-1.0,0,unknown,no
43,26,admin.,divorced,secondary,yes,-3,yes,no,unknown,13,may,181,5,-1.0,0,unknown,no
44,26,admin.,married,tertiary,no,2855,no,no,cellular,30,mar,52,3,-1.0,0,unknown,no
