,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Subscription to deposit (target)
0,26,1,1,0,0,0,1,0,0,21,5,425,1,-1.0,0,0,0
1,26,10,3,1,0,1064,0,0,0,31,5,113,1,-1.0,0,0,0
2,26,8,3,1,0,2572,1,0,1,5,5,620,1,-1.0,0,0,0
3,26,9,3,2,0,1216,1,0,1,16,4,472,2,-1.0,0,0,0
4,26,9,1,2,0,3825,1,0,0,13,5,107,1,-1.0,0,0,0
5,26,4,3,1,0,63,0,0,1,28,7,76,4,-1.0,0,0,0
6,26,6,3,2,0,211,0,0,1,29,1,168,3,-1.0,0,0,0
7,26,2,3,2,0,81,0,0,1,21,7,262,3,-1.0,0,0,0
8,26,9,3,1,0,455,0,0,1,29,1,240,1,182.0,8,2,0
9,26,1,3,1,0,-32,1,1,1,31,7,14,6,-1.0,0,0,0
10,26,4,3,2,0,350,0,0,1,8,7,367,1,-1.0,0,0,0
11,26,8,3,1,0,279,0,0,1,7,5,239,3,-1.0,0,0,0
12,26,0,3,1,0,255,0,0,1,30,4,457,1,80.0,1,3,1
13,26,10,1,2,0,454,1,1,0,23,5,28,18,-1.0,0,0,0
14,26,7,0,1,0,74,1,0,0,23,5,106,6,-1.0,0,0,0
15,26,7,3,1,0,127,1,1,1,23,7,85,3,-1.0,0,0,0
17,26,1,2,1,0,856,1,1,1,30,7,95,5,-1.0,0,0,0
18,26,9,3,1,0,2610,1,1,0,2,6,626,1,-1.0,0,0,0
19,26,0,3,1,0,443,0,0,1,30,7,84,3,-1.0,0,0,0
20,26,1,1,1,0,484,1,0,0,19,5,48,2,-1.0,0,0,0
21,26,1,1,1,0,245,1,0,0,26,5,16,11,-1.0,0,0,0
22,26,0,3,2,0,3672,1,0,0,29,5,360,5,-1.0,0,0,0
23,26,1,3,0,0,-887,1,0,1,18,5,827,2,-1.0,0,0,1
24,26,1,1,1,0,115,1,0,0,4,7,46,3,-1.0,0,0,0
25,26,4,3,2,0,592,0,0,2,29,1,145,2,164.0,1,2,0
26,26,0,1,1,0,0,0,0,0,27,5,755,1,-1.0,0,0,0
27,26,9,1,1,0,18,1,1,1,5,5,138,1,-1.0,0,0,0
28,26,0,3,1,0,236,1,1,1,18,5,8,2,-1.0,0,0,0
29,26,6,1,2,0,479,1,0,1,9,2,133,3,-1.0,0,0,0
30,26,9,3,1,0,7,1,0,1,22,7,188,2,-1.0,0,0,0
31,26,7,3,1,0,512,1,1,1,30,1,206,5,239.0,3,1,0
32,26,7,3,1,0,0,0,0,1,29,7,165,23,-1.0,0,0,0
33,26,10,3,1,0,622,0,0,1,28,1,1451,2,-1.0,0,0,1
34,26,4,3,2,0,122,0,1,1,8,7,160,1,-1.0,0,0,0
35,26,8,3,1,0,203,0,0,1,16,11,104,1,196.0,1,1,0
36,26,1,3,0,0,155,1,0,1,29,1,291,1,244.0,4,1,0
37,26,6,3,2,0,1153,0,0,1,4,5,238,3,-1.0,0,0,0
38,26,1,1,0,0,5116,1,0,1,22,7,246,3,-1.0,0,0,0
39,26,4,3,2,0,-8,0,0,1,13,8,402,2,-1.0,0,0,0
40,26,10,3,1,0,461,0,0,1,28,1,214,1,-1.0,0,0,0
41,26,0,3,1,0,96,1,0,1,13,5,612,2,348.0,3,2,0
42,26,7,3,1,0,50,1,0,1,12,8,153,1,-1.0,0,0,0
43,26,0,0,1,1,-3,1,0,0,13,5,181,5,-1.0,0,0,0
44,26,0,1,2,0,2855,0,0,1,30,3,52,3,-1.0,0,0,0
45,26,4,1,2,0,265,0,0,1,30,1,650,2,-1.0,0,0,0
46,26,7,3,1,1,-162,1,0,1,15,5,44,2,-1.0,0,0,0
47,26,4,3,2,0,1177,0,0,1,19,10,116,1,-1.0,0,0,0
48,26,1,1,1,0,2770,1,0,0,8,5,141,1,-1.0,0,0,0
49,26,7,3,1,0,209,1,0,1,22,7,319,2,-1.0,0,0,0
50,26,1,3,1,0,179,0,0,1,30,7,103,3,-1.0,0,0,0
51,26,0,1,1,0,2469,0,0,1,16,7,136,8,-1.0,0,0,0
52,26,7,3,1,0,1347,0,0,2,18,6,280,6,92.0,5,2,1
53,26,1,1,1,0,128,0,0,0,4,7,355,1,-1.0,0,0,0
54,26,7,3,1,0,5533,1,0,1,7,5,582,2,283.0,4,1,0
55,26,0,3,1,0,321,1,0,1,22,7,242,7,-1.0,0,0,0
56,26,1,3,1,0,396,1,0,0,28,5,302,1,-1.0,0,0,0
57,26,4,3,2,0,170,0,0,1,15,6,129,1,-1.0,0,0,1
58,26,4,0,2,1,-402,0,1,0,12,5,127,2,-1.0,0,0,0
59,26,1,3,0,0,3342,1,0,0,4,6,329,4,-1.0,0,0,0
60,26,4,3,2,0,1274,1,0,1,1,6,190,1,84.0,1,1,0
61,26,0,3,1,0,802,0,0,1,30,1,77,1,2.0,2,2,0
62,26,8,3,2,0,294,0,0,1,5,3,87,1,91.0,2,3,1
63,26,8,3,1,0,-147,0,0,0,4,6,95,2,-1.0,0,0,0
64,26,9,3,1,0,261,1,0,0,27,5,371,2,-1.0,0,0,0
65,26,4,3,1,0,565,1,0,0,6,6,582,11,-1.0,0,0,0
66,26,2,1,2,0,37,1,1,1,6,5,207,1,363.0,2,1,0
67,26,9,3,1,0,1275,1,0,0,20,6,18,9,-1.0,0,0,0
68,26,3,1,1,0,-759,1,0,1,11,7,191,1,-1.0,0,0,0
69,26,7,3,1,0,1700,1,0,1,7,5,13,5,-1.0,0,0,0
70,26,1,3,1,0,592,1,1,0,27,5,174,1,-1.0,0,0,0
71,26,0,3,1,0,3529,0,1,1,7,9,57,2,-1.0,0,0,0
72,26,0,3,1,0,609,0,0,2,28,1,112,1,-1.0,0,0,0
73,26,7,3,1,0,256,1,0,1,4,5,101,2,-1.0,0,0,0
74,26,9,3,2,0,75,1,1,0,19,5,351,1,-1.0,0,0,0
75,26,9,3,1,0,668,1,0,0,28,5,576,3,-1.0,0,0,1
76,26,8,3,1,0,0,1,0,0,5,5,610,2,-1.0,0,0,0
77,26,0,3,1,0,82,1,0,0,5,5,228,1,-1.0,0,0,0
78,26,0,3,1,0,712,1,0,0,6,5,232,1,-1.0,0,0,0
79,26,1,3,1,0,24,1,0,0,7,5,180,1,-1.0,0,0,0
80,26,7,1,1,0,0,1,0,0,7,5,180,2,-1.0,0,0,0
81,26,9,3,1,0,2087,0,0,0,8,5,151,1,-1.0,0,0,0
82,26,1,1,1,1,20,1,0,0,8,5,200,1,-1.0,0,0,0
83,26,1,3,0,0,318,1,0,0,8,5,101,1,-1.0,0,0,0
84,26,1,1,1,0,2770,1,0,0,8,5,141,1,-1.0,0,0,0
85,26,8,3,1,0,85,1,0,0,8,5,278,2,-1.0,0,0,0
86,26,1,3,1,0,-29,1,0,0,8,5,196,1,-1.0,0,0,0
87,26,8,3,2,0,37,1,0,0,8,5,108,1,-1.0,0,0,0
88,26,8,3,3,0,-41,1,0,0,8,5,229,2,-1.0,0,0,0
89,26,1,3,1,0,-132,0,0,0,8,5,12,1,-1.0,0,0,0
90,26,4,3,2,0,498,1,0,0,8,5,99,3,-1.0,0,0,0
91,26,1,3,1,0,100,1,0,0,9,5,24,1,-1.0,0,0,0
92,26,1,3,1,0,153,1,0,0,9,5,386,1,-1.0,0,0,0
93,26,7,3,1,0,187,1,0,0,9,5,341,1,-1.0,0,0,0
94,26,1,3,1,0,-116,1,1,0,9,5,208,1,-1.0,0,0,0
95,26,7,3,1,0,302,1,0,0,9,5,210,1,-1.0,0,0,0
96,26,1,3,1,0,82,1,0,0,9,5,654,1,-1.0,0,0,1
97,26,4,3,2,0,1326,1,0,0,9,5,70,1,-1.0,0,0,0
98,26,1,3,0,0,102,1,0,0,9,5,89,1,-1.0,0,0,0
99,26,9,3,1,0,57,1,0,0,9,5,404,2,-1.0,0,0,0
100,26,4,1,0,0,1349,1,0,0,9,5,275,1,-1.0,0,0,0
101,26,2,1,2,0,79,1,1,0,9,5,346,3,-1.0,0,0,0
102,26,9,1,1,0,47,1,0,0,9,5,282,2,-1.0,0,0,0
103,26,4,0,2,1,-402,0,1,0,12,5,127,2,-1.0,0,0,0
104,26,9,3,1,0,124,1,0,0,12,5,57,8,-1.0,0,0,0
105,26,1,1,1,0,288,1,0,0,12,5,49,2,-1.0,0,0,0
106,26,1,3,1,0,199,1,1,0,12,5,125,1,-1.0,0,0,0
107,26,0,3,1,0,586,1,1,0,12,5,215,1,-1.0,0,0,0
108,26,1,3,1,1,-23,1,0,0,12,5,315,1,-1.0,0,0,0
109,26,9,1,2,0,450,1,1,0,12,5,1266,1,-1.0,0,0,0
110,26,1,3,1,0,96,1,0,0,12,5,181,2,-1.0,0,0,0
111,26,0,0,1,1,-3,1,0,0,13,5,181,5,-1.0,0,0,0
112,26,9,3,1,0,8,0,0,0,13,5,147,1,-1.0,0,0,0
113,26,2,3,1,0,101,1,0,0,13,5,723,1,-1.0,0,0,0
114,26,9,3,1,0,24299,1,0,0,13,5,704,1,-1.0,0,0,0
115,26,7,1,1,0,54,1,0,0,13,5,116,1,-1.0,0,0,0
116,26,1,3,1,0,309,1,0,0,13,5,210,1,-1.0,0,0,0
117,26,1,3,1,0,401,1,0,0,13,5,373,1,-1.0,0,0,0
118,26,0,3,1,0,92,1,0,0,13,5,259,1,-1.0,0,0,0
119,26,9,1,2,0,3825,1,0,0,13,5,107,1,-1.0,0,0,0
120,26,7,1,1,0,380,1,0,0,13,5,260,3,-1.0,0,0,0
121,26,1,3,1,0,-204,1,0,0,13,5,609,2,-1.0,0,0,0
122,26,9,1,2,0,8,1,1,0,13,5,262,2,-1.0,0,0,0
123,26,7,3,1,0,8206,1,0,0,13,5,213,2,-1.0,0,0,0
124,26,4,1,2,0,1531,1,0,0,13,5,129,4,-1.0,0,0,0
125,26,1,1,1,0,3108,1,0,0,13,5,481,3,-1.0,0,0,0
126,26,1,3,1,0,-214,1,0,0,13,5,86,4,-1.0,0,0,0
127,26,8,3,1,0,91,1,0,0,14,5,174,2,-1.0,0,0,0
128,26,8,3,1,0,3096,1,0,0,14,5,107,1,-1.0,0,0,0
129,26,1,3,1,0,277,0,0,0,14,5,514,2,-1.0,0,0,0
130,26,1,3,1,0,786,1,1,0,14,5,103,5,-1.0,0,0,0
131,26,1,1,0,0,-219,1,1,0,15,5,311,5,-1.0,0,0,0
132,26,1,1,1,0,800,1,0,0,15,5,219,1,-1.0,0,0,0
133,26,9,3,2,0,192,1,0,0,15,5,477,1,-1.0,0,0,0
134,26,9,3,1,0,2,1,1,0,15,5,461,1,-1.0,0,0,0
135,26,1,1,0,0,500,1,0,0,15,5,21,6,-1.0,0,0,0
136,26,1,1,1,0,246,1,0,0,16,5,1143,3,-1.0,0,0,1
