,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Subscription to deposit (target)
0,26,blue-collar,married,primary,no,0,yes,no,unknown,21,5,425,1,-1.0,0,unknown,no
1,26,unemployed,single,secondary,no,1064,no,no,unknown,31,5,113,1,-1.0,0,unknown,no
2,26,student,single,secondary,no,2572,yes,no,cellular,5,5,620,1,-1.0,0,unknown,no
3,26,technician,single,tertiary,no,1216,yes,no,cellular,16,4,472,2,-1.0,0,unknown,no
4,26,technician,married,tertiary,no,3825,yes,no,unknown,13,5,107,1,-1.0,0,unknown,no
5,26,management,single,secondary,no,63,no,no,cellular,28,7,76,4,-1.0,0,unknown,no
6,26,self-employed,single,tertiary,no,211,no,no,cellular,29,1,168,3,-1.0,0,unknown,no
7,26,entrepreneur,single,tertiary,no,81,no,no,cellular,21,7,262,3,-1.0,0,unknown,no
8,26,technician,single,secondary,no,455,no,no,cellular,29,1,240,1,182.0,8,other,no
9,26,blue-collar,single,secondary,no,-32,yes,yes,cellular,31,7,14,6,-1.0,0,unknown,no
10,26,management,single,tertiary,no,350,no,no,cellular,8,7,367,1,-1.0,0,unknown,no
11,26,student,single,secondary,no,279,no,no,cellular,7,5,239,3,-1.0,0,unknown,no
12,26,admin.,single,secondary,no,255,no,no,cellular,30,4,457,1,80.0,1,success,yes
13,26,unemployed,married,tertiary,no,454,yes,yes,unknown,23,5,28,18,-1.0,0,unknown,no
14,26,services,divorced,secondary,no,74,yes,no,unknown,23,5,106,6,-1.0,0,unknown,no
15,26,services,single,secondary,no,127,yes,yes,cellular,23,7,85,3,-1.0,0,unknown,no
17,26,blue-collar,no,secondary,no,856,yes,yes,cellular,30,7,95,5,-1.0,0,unknown,no
18,26,technician,single,secondary,no,2610,yes,yes,unknown,2,6,626,1,-1.0,0,unknown,no
19,26,admin.,single,secondary,no,443,no,no,cellular,30,7,84,3,-1.0,0,unknown,no
20,26,blue-collar,married,secondary,no,484,yes,no,unknown,19,5,48,2,-1.0,0,unknown,no
21,26,blue-collar,married,secondary,no,245,yes,no,unknown,26,5,16,11,-1.0,0,unknown,no
